,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
0,Grey Wolf,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis lupus,"400,000",10-20 yrs,75 km/h,16-60 kg,80-85 cm,105-160 cm,,,,"['Wetlands ', 'Shrubland', 'Forest', 'Mountains', 'Anthropogenic biome', 'Grassland', 'Rocky areas ', 'Agricultural']","['Temperate', 'Cold', 'Polar', 'Tropical']",Not a migrant,,,Monogamy,January-April,60-63 days,1-14 pups,45 days,bitch,dog,"pup, whelp",,Stable,Least concern (LC)
1,Tiger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera tigris,"2,154-3,159",10-15 yrs,96 km/h,65-306 kg,,200-390 cm,,,,"['Forest', 'Rainforest', 'Montane forest', 'Riparian', 'Shrubland', 'Grassland']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,November-April,103 days,1-7 cubs,18 mos-3 yrs,,,cub,,Decreasing,Endangered (EN)
2,Brown Bear,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ursus,Ursus arctos,"200,000",20-50 yrs,56 km/h,100-635 kg,70-153 cm,1.4-2.8 m,,,,"['Forest', 'Woodland']","['Temperate', 'Cold', 'Polar']","Hibernating, Migrating",,,"Polygynandry,",May-July,8 weeks,1-4 cubs,2-4 years,sow,boar,cub,,Stable,Least concern (LC)
3,Blue Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Balaenopteridae,Balaenoptera,Balaenoptera musculus,10-25 Thou,80-90 yrs,20 km/h,100-160 t,,25-30 m,,,,"['Oceanic pelagic zone', 'Marine', 'Neritic zone']","['Tropical', 'Temperate', 'Cold', 'Polar']",Migrating,,,Monogamy,winter or early spring,1 year,1 calf,8 months,cow,bull,calf,,Increasing,Endangered (EN)
4,Killer Whale,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Orcinus,Orcinus orca,"50,000",30-100 yrs,45 km/h,3-6 t,,6-9 m,,,,"['Oceanic pelagic zone', 'Marine', 'Neritic zone', 'Estuaries']","['Tropical', 'Temperate', 'Cold', 'Polar']",Partial Migrant,,,Polygynandry,"year-round, usually in summer",15-18 months,1 calf,2 years,cow,bull,calf,,,
5,Giant Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ursidae,Ailuropoda,Ailuropoda melanoleuca,"1,800",20-30 yrs,32 km/h,70-160 kg,60-90 cm,1.2-1.9 m,,,,"['Forest', 'Mountains', 'Montane forest']",['Temperate'],Not a migrant,,,Polygyny,March-May,5 months,1-2 cubs,18 months,sow,boar,cub,,Increasing,Vulnerable (VU)
6,Lion,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera leo,"20,000",12-25 yrs,56 km/h,120-249 kg,,140-250 cm,,,,"['Grassland', 'Savanna', 'Woodland', 'Mountains', 'Montane forest', 'Shrubland']","['Tropical', 'Arid']",Not a migrant,,,Polygyny,"year-round, peak during the rainy season",110-119 days,3-6 cubs,2 years,lioness,lion,cub,,Decreasing,Vulnerable (VU)
7,Koala,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,"300,000",15 yrs,10 km/h,4-15 kg,60-85 cm,,,,,"['Forest', 'Woodland', 'Riparian']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,December-March,35 days,1 joey,1 year,female,male,joey,,Decreasing,Vulnerable (VU)
8,Cougar,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Puma,Puma concolor,"below 50,000",10-20 yrs,45 km/h,29-100 kg,60-90 cm,2-2.4 m,,,,"['Chaparral', 'Forest', 'Mountains', 'Rainforest', 'Shrubland', 'Rocky areas ', 'Montane forest', 'Woodland']","['Tropical', 'Arid', 'Temperate', 'Cold']",,,,Polygyny,"year-round, December-March in northern latitudes",90-96 days,1-6 kittens,40 days,,,kitten,,Decreasing,Least concern (LC)
9,Quokka,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Setonix,Setonix brachyurus,"7,850-17,150",5-10 yrs,32 km/h,2.5-5 kg,,40-54 cm,,,,"['Forest', 'Shrubland', 'Wetlands ', 'Riparian']",['Temperate'],Not a migrant,,,Polygynandry,January-March,1 month,1 joey,38-40 weeks,"jill, roo","jack, boomer",joey,,Decreasing,Vulnerable (VU)
